total_time_s,total_dist_m,vtol_transition_time_s,total_speed_at_interception_mps
133.49985432624817,3740.568459221157,51.3498809337616,25.8172711868371
136.25003504753113,3829.1732822298595,52.44998025894165,23.902595079916942
145.79988169670105,4118.990524419312,51.5001060962677,25.82515342093646
135.45020270347595,3788.723662394916,51.70002269744873,25.11290236133221
132.59996008872986,3703.405393921393,52.55006265640259,25.461581762940646
215.05042386054993,6400.96435247356,51.100034952163696,29.95057675340679
159.59997248649597,4638.249776736344,51.099976539611816,25.924526960437063
154.59989953041077,4480.970021735558,50.399946212768555,26.714780938897295
157.2499737739563,4532.144260416483,51.300135374069214,26.58320557846902
42.6511754989624,640.177318249393,0.0,40.25394906948177
43.0998055934906,850.9112393662052,0.0,35.082807371600765
44.1003942489624,853.476962057617,0.0,24.12785310274491
 110.15018391609192,3055.1803266623024,51.39999842643738,26.615112629051836
111.54999470710754,3092.8691941071097,51.70006728172302,41.65294491598615
